Title,Date,Year,Month,Day,Day_of_week,show_name,season,episode_name,show_type
Jane The Virgin: Season 2: Chapter Forty-One,2018-08-31,2018,August,31,Friday,Jane The Virgin, Season 2, Chapter Forty-One,TV Show
Jane The Virgin: Season 2: Chapter Forty,2018-08-31,2018,August,31,Friday,Jane The Virgin, Season 2, Chapter Forty,TV Show
Jane The Virgin: Season 2: Chapter Thirty-Nine,2018-08-31,2018,August,31,Friday,Jane The Virgin, Season 2, Chapter Thirty-Nine,TV Show
How the Grinch Stole Christmas,2018-08-30,2018,August,30,Thursday,How the Grinch Stole Christmas,,,Movie
Master of None: Season 1: Plan B,2018-08-28,2018,August,28,Tuesday,Master of None, Season 1, Plan B,TV Show
To All the Boys I’ve Loved Before,2018-08-28,2018,August,28,Tuesday,To All the Boys I’ve Loved Before,,,Movie
Carrie Pilby,2018-08-25,2018,August,25,Saturday,Carrie Pilby,,,Movie
The Nice Guys,2018-08-25,2018,August,25,Saturday,The Nice Guys,,,Movie
Snatch,2018-08-25,2018,August,25,Saturday,Snatch,,,Movie
The Shawshank Redemption,2018-08-25,2018,August,25,Saturday,The Shawshank Redemption,,,Movie
Comedians in Cars Getting Coffee: New 2018: Freshly Brewed: Ellen DeGeneres: You Said It Wasn’t Funny,2018-08-25,2018,August,25,Saturday,Comedians in Cars Getting Coffee, New 2018, Freshly Brewed: Ellen DeGeneres: You Said It Wasn’t Funny,TV Show
